selector,preference_index,preference,selected_policy_id,selected_utility,selected_passed_strict,selected_near_strict,selected_strict_margin,selected_business_return,selected_cost_return,selected_mean_violation,selected_final_critical_compromised_hosts,selected_high_disruption_action_rate
risk_adjusted_utility,10,"[0.0, 1.0, 0.0]",stage1_pref_000_ckpt_191,-100.7769775390625,False,False,-10.666250228881836,-109.0921859741211,-30.797250747680664,11.166250228881836,0.375,0.99025
utility_argmax,11,"[0.1, 0.0, 0.9]",stage1_pref_000_ckpt_191,-66.40387725830078,False,False,-10.666250228881836,-109.0921859741211,-30.797250747680664,11.166250228881836,0.375,0.99025
strict_lexi,11,"[0.1, 0.0, 0.9]",stage2_ext_011_obj_1,-66.79437255859375,False,False,-4.091687202453613,-116.2161865234375,-24.27775001525879,4.591687202453613,0.8,0.9225
risk_adjusted_utility,11,"[0.1, 0.0, 0.9]",stage2_ext_011_obj_1,-66.79437255859375,False,False,-4.091687202453613,-116.2161865234375,-24.27775001525879,4.591687202453613,0.8,0.9225
utility_argmax,12,"[0.1, 0.1, 0.8]",stage1_pref_000_ckpt_191,-73.38607788085938,False,False,-10.666250228881836,-109.0921859741211,-30.797250747680664,11.166250228881836,0.375,0.99025
strict_lexi,12,"[0.1, 0.1, 0.8]",stage2_ext_011_obj_1,-76.0085220336914,False,False,-4.091687202453613,-116.2161865234375,-24.27775001525879,4.591687202453613,0.8,0.9225
risk_adjusted_utility,12,"[0.1, 0.1, 0.8]",stage2_ext_011_obj_1,-76.0085220336914,False,False,-4.091687202453613,-116.2161865234375,-24.27775001525879,4.591687202453613,0.8,0.9225
utility_argmax,13,"[0.1, 0.2, 0.7]",stage1_pref_000_ckpt_191,-80.36827087402344,False,False,-10.666250228881836,-109.0921859741211,-30.797250747680664,11.166250228881836,0.375,0.99025
strict_lexi,13,"[0.1, 0.2, 0.7]",stage2_ext_011_obj_1,-85.22267150878906,False,False,-4.091687202453613,-116.2161865234375,-24.27775001525879,4.591687202453613,0.8,0.9225
risk_adjusted_utility,13,"[0.1, 0.2, 0.7]",stage2_ext_011_obj_1,-85.22267150878906,False,False,-4.091687202453613,-116.2161865234375,-24.27775001525879,4.591687202453613,0.8,0.9225
utility_argmax,14,"[0.1, 0.3, 0.6]",stage1_pref_000_ckpt_191,-87.35047912597656,False,False,-10.666250228881836,-109.0921859741211,-30.797250747680664,11.166250228881836,0.375,0.99025
strict_lexi,14,"[0.1, 0.3, 0.6]",stage2_ext_011_obj_1,-94.43681335449219,False,False,-4.091687202453613,-116.2161865234375,-24.27775001525879,4.591687202453613,0.8,0.9225
risk_adjusted_utility,14,"[0.1, 0.3, 0.6]",stage2_ext_011_obj_1,-94.43681335449219,False,False,-4.091687202453613,-116.2161865234375,-24.27775001525879,4.591687202453613,0.8,0.9225
utility_argmax,15,"[0.1, 0.4, 0.5]",stage1_pref_000_ckpt_191,-94.3326644897461,False,False,-10.666250228881836,-109.0921859741211,-30.797250747680664,11.166250228881836,0.375,0.99025
strict_lexi,15,"[0.1, 0.4, 0.5]",stage2_ext_011_obj_1,-103.65096282958984,False,False,-4.091687202453613,-116.2161865234375,-24.27775001525879,4.591687202453613,0.8,0.9225
risk_adjusted_utility,15,"[0.1, 0.4, 0.5]",stage2_ext_011_obj_1,-103.65096282958984,False,False,-4.091687202453613,-116.2161865234375,-24.27775001525879,4.591687202453613,0.8,0.9225
utility_argmax,16,"[0.1, 0.5, 0.4]",stage1_pref_000_ckpt_191,-101.31486511230469,False,False,-10.666250228881836,-109.0921859741211,-30.797250747680664,11.166250228881836,0.375,0.99025
strict_lexi,16,"[0.1, 0.5, 0.4]",stage2_ext_011_obj_1,-112.86510467529297,False,False,-4.091687202453613,-116.2161865234375,-24.27775001525879,4.591687202453613,0.8,0.9225
risk_adjusted_utility,16,"[0.1, 0.5, 0.4]",stage2_ext_011_obj_1,-112.86510467529297,False,False,-4.091687202453613,-116.2161865234375,-24.27775001525879,4.591687202453613,0.8,0.9225
utility_argmax,17,"[0.1, 0.6, 0.3]",stage1_pref_000_ckpt_191,-108.29706573486328,False,False,-10.666250228881836,-109.0921859741211,-30.797250747680664,11.166250228881836,0.375,0.99025
strict_lexi,17,"[0.1, 0.6, 0.3]",stage2_ext_011_obj_1,-122.07926177978516,False,False,-4.091687202453613,-116.2161865234375,-24.27775001525879,4.591687202453613,0.8,0.9225
risk_adjusted_utility,17,"[0.1, 0.6, 0.3]",stage2_ext_011_obj_1,-122.07926177978516,False,False,-4.091687202453613,-116.2161865234375,-24.27775001525879,4.591687202453613,0.8,0.9225
utility_argmax,18,"[0.1, 0.7, 0.2]",stage1_pref_000_ckpt_191,-115.27925872802734,False,False,-10.666250228881836,-109.0921859741211,-30.797250747680664,11.166250228881836,0.375,0.99025
strict_lexi,18,"[0.1, 0.7, 0.2]",stage2_ext_011_obj_1,-131.29339599609375,False,False,-4.091687202453613,-116.2161865234375,-24.27775001525879,4.591687202453613,0.8,0.9225
risk_adjusted_utility,18,"[0.1, 0.7, 0.2]",stage1_pref_000_ckpt_191,-115.27925872802734,False,False,-10.666250228881836,-109.0921859741211,-30.797250747680664,11.166250228881836,0.375,0.99025
utility_argmax,19,"[0.1, 0.8, 0.1]",stage1_pref_000_ckpt_191,-122.2614517211914,False,False,-10.666250228881836,-109.0921859741211,-30.797250747680664,11.166250228881836,0.375,0.99025
strict_lexi,19,"[0.1, 0.8, 0.1]",stage2_ext_011_obj_1,-140.50753784179688,False,False,-4.091687202453613,-116.2161865234375,-24.27775001525879,4.591687202453613,0.8,0.9225
risk_adjusted_utility,19,"[0.1, 0.8, 0.1]",stage1_pref_000_ckpt_191,-122.2614517211914,False,False,-10.666250228881836,-109.0921859741211,-30.797250747680664,11.166250228881836,0.375,0.99025
utility_argmax,20,"[0.1, 0.9, 0.0]",stage1_pref_000_ckpt_191,-129.24365234375,False,False,-10.666250228881836,-109.0921859741211,-30.797250747680664,11.166250228881836,0.375,0.99025
strict_lexi,20,"[0.1, 0.9, 0.0]",stage2_ext_011_obj_1,-149.7216796875,False,False,-4.091687202453613,-116.2161865234375,-24.27775001525879,4.591687202453613,0.8,0.9225
risk_adjusted_utility,20,"[0.1, 0.9, 0.0]",stage1_pref_000_ckpt_191,-129.24365234375,False,False,-10.666250228881836,-109.0921859741211,-30.797250747680664,11.166250228881836,0.375,0.99025
utility_argmax,21,"[0.2, 0.0, 0.8]",stage1_pref_000_ckpt_191,-101.85275268554688,False,False,-10.666250228881836,-109.0921859741211,-30.797250747680664,11.166250228881836,0.375,0.99025
strict_lexi,21,"[0.2, 0.0, 0.8]",stage2_ext_011_obj_1,-109.64708709716797,False,False,-4.091687202453613,-116.2161865234375,-24.27775001525879,4.591687202453613,0.8,0.9225
risk_adjusted_utility,21,"[0.2, 0.0, 0.8]",stage2_ext_011_obj_1,-109.64708709716797,False,False,-4.091687202453613,-116.2161865234375,-24.27775001525879,4.591687202453613,0.8,0.9225
utility_argmax,22,"[0.2, 0.1, 0.7]",stage1_pref_000_ckpt_191,-108.83495330810547,False,False,-10.666250228881836,-109.0921859741211,-30.797250747680664,11.166250228881836,0.375,0.99025
strict_lexi,22,"[0.2, 0.1, 0.7]",stage2_ext_011_obj_1,-118.86123657226562,False,False,-4.091687202453613,-116.2161865234375,-24.27775001525879,4.591687202453613,0.8,0.9225
risk_adjusted_utility,22,"[0.2, 0.1, 0.7]",stage2_ext_011_obj_1,-118.86123657226562,False,False,-4.091687202453613,-116.2161865234375,-24.27775001525879,4.591687202453613,0.8,0.9225
utility_argmax,23,"[0.2, 0.2, 0.6]",stage1_pref_000_ckpt_191,-115.81715393066406,False,False,-10.666250228881836,-109.0921859741211,-30.797250747680664,11.166250228881836,0.375,0.99025
strict_lexi,23,"[0.2, 0.2, 0.6]",stage2_ext_011_obj_1,-128.07537841796875,False,False,-4.091687202453613,-116.2161865234375,-24.27775001525879,4.591687202453613,0.8,0.9225
