method_name,display_name,seed,preference_index,pref_security,pref_business,pref_cost,assigned_policy_id,utility
ours_stage2,Ours Stage2,19,19,0.10000000149011612,0.800000011920929,0.10000000149011612,stage2_ext_000_obj_0,-129.26759338378906
ours_stage2,Ours Stage2,19,20,0.10000000149011612,0.8999999761581421,0.0,stage2_ext_000_obj_0,-137.36036682128906
ours_stage2,Ours Stage2,19,21,0.20000000298023224,0.0,0.800000011920929,stage2_ext_000_obj_0,-101.7623291015625
ours_stage2,Ours Stage2,19,22,0.20000000298023224,0.10000000149011612,0.699999988079071,stage2_ext_000_obj_0,-109.85511779785156
ours_stage2,Ours Stage2,19,23,0.20000000298023224,0.20000000298023224,0.6000000238418579,stage2_ext_000_obj_0,-117.94789123535156
ours_stage2,Ours Stage2,19,24,0.20000000298023224,0.30000001192092896,0.5,stage2_ext_000_obj_0,-126.04067993164062
ours_stage2,Ours Stage2,19,25,0.20000000298023224,0.4000000059604645,0.4000000059604645,stage2_ext_000_obj_0,-134.13345336914062
ours_stage2,Ours Stage2,19,26,0.20000000298023224,0.5,0.30000001192092896,stage2_ext_000_obj_0,-142.22622680664062
ours_stage2,Ours Stage2,19,27,0.20000000298023224,0.6000000238418579,0.20000000298023224,stage2_ext_000_obj_0,-150.31903076171875
ours_stage2,Ours Stage2,19,28,0.20000000298023224,0.699999988079071,0.10000000149011612,stage2_ext_000_obj_0,-158.41180419921875
ours_stage2,Ours Stage2,19,29,0.20000000298023224,0.800000011920929,0.0,stage2_ext_000_obj_0,-166.50457763671875
ours_stage2,Ours Stage2,19,30,0.30000001192092896,0.0,0.699999988079071,stage2_ext_000_obj_0,-138.99932861328125
ours_stage2,Ours Stage2,19,31,0.30000001192092896,0.10000000149011612,0.6000000238418579,stage2_ext_000_obj_0,-147.0921173095703
ours_stage2,Ours Stage2,19,32,0.30000001192092896,0.20000000298023224,0.5,stage2_ext_000_obj_0,-155.1848907470703
ours_stage2,Ours Stage2,19,33,0.30000001192092896,0.30000001192092896,0.4000000059604645,stage2_ext_000_obj_0,-163.27767944335938
ours_stage2,Ours Stage2,19,34,0.30000001192092896,0.4000000059604645,0.30000001192092896,stage2_ext_000_obj_0,-171.37045288085938
ours_stage2,Ours Stage2,19,35,0.30000001192092896,0.5,0.20000000298023224,stage2_ext_000_obj_0,-179.46324157714844
ours_stage2,Ours Stage2,19,36,0.30000001192092896,0.6000000238418579,0.10000000149011612,stage2_ext_000_obj_0,-187.5560302734375
ours_stage2,Ours Stage2,19,37,0.30000001192092896,0.699999988079071,0.0,stage2_ext_000_obj_0,-195.6488037109375
ours_stage2,Ours Stage2,19,38,0.4000000059604645,0.0,0.6000000238418579,stage2_ext_000_obj_0,-176.236328125
ours_stage2,Ours Stage2,19,39,0.4000000059604645,0.10000000149011612,0.5,stage2_ext_000_obj_0,-184.3291015625
ours_stage2,Ours Stage2,19,40,0.4000000059604645,0.20000000298023224,0.4000000059604645,stage2_ext_000_obj_0,-192.42189025878906
ours_stage2,Ours Stage2,19,41,0.4000000059604645,0.30000001192092896,0.30000001192092896,stage2_ext_000_obj_0,-200.51467895507812
ours_stage2,Ours Stage2,19,42,0.4000000059604645,0.4000000059604645,0.20000000298023224,stage2_ext_000_obj_0,-208.60745239257812
ours_stage2,Ours Stage2,19,43,0.4000000059604645,0.5,0.10000000149011612,stage2_ext_000_obj_0,-216.7002410888672
ours_stage2,Ours Stage2,19,44,0.4000000059604645,0.6000000238418579,0.0,stage2_ext_000_obj_0,-224.79302978515625
ours_stage2,Ours Stage2,19,45,0.5,0.0,0.5,stage2_ext_000_obj_0,-213.47332763671875
ours_stage2,Ours Stage2,19,46,0.5,0.10000000149011612,0.4000000059604645,stage2_ext_000_obj_0,-221.56610107421875
ours_stage2,Ours Stage2,19,47,0.5,0.20000000298023224,0.30000001192092896,stage2_ext_000_obj_0,-229.65890502929688
ours_stage2,Ours Stage2,19,48,0.5,0.30000001192092896,0.20000000298023224,stage2_ext_000_obj_0,-237.75167846679688
ours_stage2,Ours Stage2,19,49,0.5,0.4000000059604645,0.10000000149011612,stage2_ext_000_obj_0,-245.84446716308594
ours_stage2,Ours Stage2,19,50,0.5,0.5,0.0,stage2_ext_000_obj_0,-253.93724060058594
ours_stage2,Ours Stage2,19,51,0.6000000238418579,0.0,0.4000000059604645,stage2_ext_000_obj_0,-250.7103271484375
ours_stage2,Ours Stage2,19,52,0.6000000238418579,0.10000000149011612,0.30000001192092896,stage2_ext_000_obj_0,-258.8031005859375
ours_stage2,Ours Stage2,19,53,0.6000000238418579,0.20000000298023224,0.20000000298023224,stage2_ext_000_obj_0,-266.8959045410156
ours_stage2,Ours Stage2,19,54,0.6000000238418579,0.30000001192092896,0.10000000149011612,stage2_ext_000_obj_0,-274.9886779785156
ours_stage2,Ours Stage2,19,55,0.6000000238418579,0.4000000059604645,0.0,stage2_ext_000_obj_0,-283.0814514160156
ours_stage2,Ours Stage2,19,56,0.699999988079071,0.0,0.30000001192092896,stage2_ext_000_obj_0,-287.94732666015625
ours_stage2,Ours Stage2,19,57,0.699999988079071,0.10000000149011612,0.20000000298023224,stage2_ext_000_obj_0,-296.0401306152344
ours_stage2,Ours Stage2,19,58,0.699999988079071,0.20000000298023224,0.10000000149011612,stage2_ext_000_obj_0,-304.13287353515625
ours_stage2,Ours Stage2,19,59,0.699999988079071,0.30000001192092896,0.0,stage2_ext_000_obj_0,-312.2256774902344
ours_stage2,Ours Stage2,19,60,0.800000011920929,0.0,0.20000000298023224,stage2_ext_000_obj_0,-325.184326171875
ours_stage2,Ours Stage2,19,61,0.800000011920929,0.10000000149011612,0.10000000149011612,stage2_ext_000_obj_0,-333.277099609375
ours_stage2,Ours Stage2,19,62,0.800000011920929,0.20000000298023224,0.0,stage2_ext_000_obj_0,-341.369873046875
ours_stage2,Ours Stage2,19,63,0.8999999761581421,0.0,0.10000000149011612,stage2_ext_000_obj_0,-362.4212951660156
ours_stage2,Ours Stage2,19,64,0.8999999761581421,0.10000000149011612,0.0,stage2_ext_000_obj_0,-370.51409912109375
ours_stage2,Ours Stage2,19,65,1.0,0.0,0.0,stage2_ext_000_obj_0,-399.6583251953125
ours_stage2,Ours Stage2,23,0,0.0,0.0,1.0,stage2_ext_015_obj_2,-7.314166069030762
ours_stage2,Ours Stage2,23,1,0.0,0.10000000149011612,0.8999999761581421,stage2_ext_015_obj_2,-23.148895263671875
ours_stage2,Ours Stage2,23,2,0.0,0.20000000298023224,0.800000011920929,stage2_ext_019_obj_1,-38.91422653198242
ours_stage2,Ours Stage2,23,3,0.0,0.30000001192092896,0.699999988079071,stage1_pref_000_ckpt_096,-48.05824279785156
ours_stage2,Ours Stage2,23,4,0.0,0.4000000059604645,0.6000000238418579,stage1_pref_000_ckpt_096,-56.31570816040039
ours_stage2,Ours Stage2,23,5,0.0,0.5,0.5,stage2_ext_000_obj_0,-64.08036804199219
ours_stage2,Ours Stage2,23,6,0.0,0.6000000238418579,0.4000000059604645,stage2_ext_000_obj_0,-71.7151870727539
ours_stage2,Ours Stage2,23,7,0.0,0.699999988079071,0.30000001192092896,stage2_ext_000_obj_0,-79.35000610351562
ours_stage2,Ours Stage2,23,8,0.0,0.800000011920929,0.20000000298023224,stage2_ext_000_obj_0,-86.98483276367188
ours_stage2,Ours Stage2,23,9,0.0,0.8999999761581421,0.10000000149011612,stage2_ext_000_obj_0,-94.6196517944336
ours_stage2,Ours Stage2,23,10,0.0,1.0,0.0,stage2_ext_000_obj_0,-102.25447845458984
ours_stage2,Ours Stage2,23,11,0.10000000149011612,0.0,0.8999999761581421,stage2_ext_000_obj_0,-61.81791687011719
ours_stage2,Ours Stage2,23,12,0.10000000149011612,0.10000000149011612,0.800000011920929,stage2_ext_000_obj_0,-69.45274353027344
ours_stage2,Ours Stage2,23,13,0.10000000149011612,0.20000000298023224,0.699999988079071,stage2_ext_000_obj_0,-77.08756256103516
ours_stage2,Ours Stage2,23,14,0.10000000149011612,0.30000001192092896,0.6000000238418579,stage2_ext_000_obj_0,-84.7223892211914
