seed,method_name,display_group,threshold_profile,threshold_quantile,d_business,d_cost,num_preferences,unique_selected_policies,feasible_assignment_rate,mean_violation,business_violation,cost_violation,mean_utility,candidate_count,raw_pareto_size,table_b_replay_critical_impact_count,table_b_replay_final_critical_compromised_hosts,table_b_replay_ever_critical_breach_rate,table_b_replay_persistent_critical_breach_rate
11,stage1_only_4obj,Stage1 Only 4obj,default,0.25,-27.781768798828125,-24.6200008392334,286,2,1.0,0.0,0.0,0.0,-42.71834391022062,18,3,0.0,0.0,0.0,0.0
11,stage1_only_4obj,Stage1 Only 4obj,stricter,0.5,-26.534896850585938,-23.14166831970215,286,2,0.0,1.453244135929988,0.13515045592834898,1.318093680001639,-42.71834391022062,18,3,0.0,0.0,0.0,0.0
11,weighted_sum_4obj,Weighted-Sum 4obj,looser,0.1,-28.248770904541015,-25.80816764831543,286,5,0.0,103.93597445721343,103.93597445721343,0.0,-171.15155205964209,30,17,4.925,0.875,1.0,0.875
11,weighted_sum_4obj,Weighted-Sum 4obj,default,0.25,-27.781768798828125,-24.6200008392334,286,5,0.0,104.40297656292682,104.40297656292682,0.0,-171.15155205964209,30,17,4.925,0.875,1.0,0.875
11,weighted_sum_4obj,Weighted-Sum 4obj,stricter,0.5,-26.534896850585938,-23.14166831970215,286,5,0.0,105.9785551858115,105.64984851116901,0.3287066746424962,-171.15155205964209,30,17,4.925,0.875,1.0,0.875
11,lagrangian_ppo_4obj,Lagrangian PPO,looser,0.1,-28.248770904541015,-25.80816764831543,286,1,0.0,107.97550277709911,107.97550277709911,0.0,-342.49428385058485,1,1,1.0,0.9,0.95,0.9
11,lagrangian_ppo_4obj,Lagrangian PPO,default,0.25,-27.781768798828125,-24.6200008392334,286,1,0.0,108.4425048828125,108.4425048828125,0.0,-342.49428385058485,1,1,1.0,0.9,0.95,0.9
11,lagrangian_ppo_4obj,Lagrangian PPO,stricter,0.5,-26.534896850585938,-23.14166831970215,286,1,0.0,109.68937683105469,109.68937683105469,0.0,-342.49428385058485,1,1,1.0,0.9,0.95,0.9
11,no_constraint_stage2_4obj,Unconstrained Stage-2,looser,0.1,-28.248770904541015,-25.80816764831543,286,4,1.0,0.0,0.0,0.0,-36.556562268650616,45,5,0.0,0.0,0.0,0.0
11,no_constraint_stage2_4obj,Unconstrained Stage-2,default,0.25,-27.781768798828125,-24.6200008392334,286,4,1.0,0.0,0.0,0.0,-36.556562268650616,45,5,0.0,0.0,0.0,0.0
11,no_constraint_stage2_4obj,Unconstrained Stage-2,stricter,0.5,-26.534896850585938,-23.14166831970215,286,4,1.0,0.0,0.0,0.0,-36.556562268650616,45,5,0.0,0.0,0.0,0.0
